"filename", "language", "JSON", "C#", "XML", "Docker", "Markdown", "Dotenv", "JavaScript", "JavaScript JSX", "PostCSS", "HTML", "MS SQL", "comment", "blank", "total"
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Controllers\WeatherForecastController.cs", "C#", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Data\Connectioncontextdb.cs", "C#", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 143
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Dockerfile", "Docker", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 4, 16
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Hubs\NotificationsHub.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\JwtTokensGenerator.cs", "C#", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 49
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Middleware\TenantMiddleware.cs", "C#", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 68
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Migrations\20251211221144_Intitialmigration.Designer.cs", "C#", 0, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 91, 336
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Migrations\20251211221144_Intitialmigration.cs", "C#", 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24, 241
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Migrations\20251211224050_sales.Designer.cs", "C#", 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 95, 352
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Migrations\20251211224050_sales.cs", "C#", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 63
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Migrations\20251211230012_MigracionInicial.Designer.cs", "C#", 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 96, 356
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Migrations\20251211230012_MigracionInicial.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 30
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Migrations\20260602042316_AddMultitenancy.Designer.cs", "C#", 0, 374, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 138, 514
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Migrations\20260602042316_AddMultitenancy.cs", "C#", 0, 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 58, 333
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Migrations\AddMultitenancy.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 32, 81
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Migrations\ConnectioncontextdbModelSnapshot.cs", "C#", 0, 372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 138, 511
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Models\Category.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Models\ITenantScoped.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Models\InventoryMovement.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Models\PendingSale.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Models\PendingSaleDetail.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Models\Product.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Models\Reports.cs", "C#", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Models\Sale.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Models\SaleDetail.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Models\Tenant.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Models\User.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Program.cs", "C#", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25, 117
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Properties\launchSettings.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Repositories\IRepository.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Repositories\IUserRepository.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Repositories\Repository.cs", "C#", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Services\ChatbotService.cs", "C#", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 190
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Services\ITenantProvider.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Services\Inventoryservice.cs", "C#", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Services\Productservice.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Services\Reportsservice.cs", "C#", 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 189
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Services\Saleservice.cs", "C#", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 78
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Services\TenantProvider.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Services\Userservice.cs", "C#", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 127
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\WeatherForecast.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Webapi.csproj", "XML", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\appsettings.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"Total", "-", 3921, 4019, 30, 10, 65, 1, 373, 2484, 1970, 13, 49, 102, 1915, 14952
